iter	Passed	Remaining
716	21955	39287
717	21987	39258
718	22020	39232
719	22051	39202
720	22081	39171
721	22111	39139
722	22141	39107
723	22172	39076
724	22203	39047
725	22234	39017
726	22263	38984
727	22294	38953
728	22322	38918
729	22353	38888
730	22384	38858
731	22415	38829
732	22446	38798
733	22476	38766
734	22505	38733
735	22535	38701
736	22564	38668
737	22595	38639
738	22624	38606
739	22655	38574
740	22685	38543
741	22717	38515
742	22748	38484
743	22779	38455
744	22809	38424
745	22840	38393
746	22872	38365
747	22904	38336
748	22933	38303
749	22965	38276
750	22996	38245
751	23029	38218
752	23060	38189
753	23092	38160
754	23120	38125
755	23149	38092
756	23179	38060
757	23211	38033
758	23245	38007
759	23275	37975
760	23307	37948
761	23337	37916
762	23366	37883
763	23396	37851
764	23426	37818
765	23456	37787
766	23487	37757
767	23516	37724
768	23545	37690
769	23574	37657
770	23603	37624
771	23630	37588
772	23661	37558
773	23692	37528
774	23722	37497
775	23753	37466
776	23783	37435
777	23816	37407
778	23846	37376
779	23876	37345
780	23907	37315
781	23936	37281
782	23968	37253
783	24001	37226
784	24033	37198
785	24063	37166
786	24094	37136
787	24123	37102
788	24155	37075
789	24188	37048
790	24222	37023
791	24256	36997
792	24288	36969
793	24321	36941
794	24352	36911
795	24387	36888
796	24428	36872
797	24459	36842
798	24490	36812
799	24522	36783
800	24552	36751
801	24586	36726
802	24619	36699
803	24653	36673
804	24684	36643
805	24718	36617
806	24753	36593
807	24787	36567
808	24819	36539
809	24855	36515
810	24886	36485
811	24917	36455
812	24951	36430
813	24987	36407
814	25019	36378
815	25051	36349
816	25083	36320
817	25118	36295
818	25151	36268
819	25184	36240
820	25217	36213
821	25251	36187
822	25285	36162
823	25316	36131
824	25348	36101
825	25380	36073
826	25410	36041
827	25444	36015
828	25475	35985
829	25504	35952
830	25537	35925
831	25571	35898
832	25599	35864
833	25630	35833
834	25660	35801
835	25688	35767
836	25717	35733
837	25748	35703
838	25778	35672
839	25811	35644
840	25844	35617
841	25876	35588
842	25907	35557
843	25939	35528
844	25970	35498
845	26000	35466
846	26027	35431
847	26060	35402
848	26090	35370
849	26119	35338
850	26154	35312
851	26184	35280
852	26213	35248
853	26241	35214
854	26272	35183
855	26302	35151
856	26334	35122
857	26366	35094
858	26400	35067
859	26434	35040
860	26464	35009
861	26493	34976
862	26523	34945
863	26554	34913
864	26584	34882
865	26614	34850
866	26644	34819
867	26676	34790
868	26708	34761
869	26737	34728
870	26770	34700
871	26802	34671
872	26833	34640
873	26863	34609
874	26894	34578
875	26922	34544
876	26952	34512
877	26983	34481
878	27013	34450
879	27044	34420
880	27074	34388
881	27103	34356
882	27133	34323
883	27163	34292
884	27195	34263
885	27227	34234
886	27259	34204
887	27289	34173
888	27318	34139
889	27347	34108
890	27379	34077
891	27415	34053
892	27448	34026
893	27481	33998
894	27511	33966
895	27543	33937
896	27576	33909
897	27610	33882
898	27641	33852
899	27671	33821
900	27700	33787
901	27731	33756
902	27762	33726
903	27792	33695
904	27822	33664
905	27853	33633
906	27886	33605
907	27918	33575
908	27949	33545
909	27979	33514
910	28008	33481
911	28040	33451
912	28073	33423
913	28105	33394
914	28136	33364
915	28168	33335
916	28200	33305
917	28229	33272
918	28259	33241
919	28292	33213
920	28324	33184
921	28357	33155
922	28389	33126
923	28424	33099
